index,dsp time,sfn,Adjustment value
446,10988.806712911,6582,-20
447,10988.841754218,6617,-20
448,10988.856702932,6632,-21
449,10988.861730092,6637,-21
450,10988.876715997,6652,-21
451,10988.881714146,6657,-21
452,10988.916721244,6692,-21
453,10988.921736111,6697,-22
454,10988.926731018,6702,-22
455,10988.931696244,6707,-22
456,10988.961682355,6737,-22
457,10988.991711985,6767,-22
458,10988.996732921,6772,-23
459,10989.001716203,6777,-23
460,10989.006718364,6782,-23
461,10989.016756635,6792,-23
462,10989.036726028,6812,-23
463,10989.041715432,6817,-22
464,10989.076716203,6852,-22
465,10989.081743518,6857,-22
466,10989.086745061,6862,-22
467,10989.091693930,6867,-22
468,10989.121670781,6897,-22
469,10989.151684259,6927,-22
470,10989.161728497,6937,-21
471,10989.171750411,6947,-21
472,10989.201707304,6977,-21
473,10989.231713477,7007,-21
474,10989.236761625,7012,-20
475,10989.241699845,7017,-20
476,10989.246720113,7022,-20
477,10989.251707047,7027,-20
478,10989.281692901,7057,-20
479,10989.311721707,7087,-20
480,10989.316737757,7092,-19
481,10989.321711111,7097,-19
482,10989.326703395,7102,-19
483,10989.336710751,7112,-19
484,10989.356744341,7132,-19
485,10989.361709053,7137,-20
486,10989.396716769,7172,-20
487,10989.401720524,7177,-20
488,10989.406734465,7182,-20
489,10989.411720061,7187,-20
490,10989.416699331,7192,-20
491,10989.441694701,7217,-21
492,10989.471724639,7247,-21
493,10989.476711625,7252,-22
494,10989.481705349,7257,-22
495,10989.486710545,7262,-22
496,10989.516735802,7292,-22
497,10989.521737500,7297,-21
498,10989.561782098,7337,-21
499,10989.566720370,7342,-21
500,10989.571709053,7347,-21
501,10989.576700411,7352,-21
502,10989.601672942,7377,-21
503,10989.631710082,7407,-21
504,10989.641714814,7417,-22
505,10989.646729732,7422,-21
506,10989.651726748,7427,-21
507,10989.656723816,7432,-21
508,10989.681704372,7457,-21
509,10989.711706532,7487,-21
510,10989.721709413,7497,-20
511,10989.726708179,7502,-20
512,10989.731695421,7507,-20
513,10989.736757664,7512,-20
514,10989.761706481,7537,-20
515,10989.791697890,7567,-20
516,10989.801717849,7577,-21
517,10989.806721656,7582,-22
518,10989.836718878,7612,-22
519,10989.841713065,7617,-22
520,10989.881723456,7657,-22
521,10989.886729475,7662,-21
522,10989.891716049,7667,-21
523,10989.901725360,7677,-21
524,10989.906718261,7682,-21
525,10989.911732921,7687,-21
526,10989.921744084,7697,-20
527,10989.951748508,7727,-20
528,10989.961710802,7737,-20
529,10989.976718827,7752,-19
530,10989.981752983,7757,-19
531,10990.001705195,7777,-19
532,10990.031727572,7807,-19
533,10990.041712294,7817,-20
534,10990.051697530,7827,-20
535,10990.056735236,7832,-20
536,10990.081668878,7857,-20
537,10990.111695113,7887,-20
538,10990.121741563,7897,-21
539,10990.131766512,7907,-22
540,10990.136720884,7912,-22
541,10990.161686111,7937,-22
542,10990.191713940,7967,-22
543,10990.196729938,7972,-23
544,10990.201709979,7977,-23
545,10990.206739454,7982,-23
546,10990.216707355,7992,-23
547,10990.241764300,8017,-23
548,10990.281718209,8057,-22
549,10990.286738786,8062,-21
550,10990.291699588,8067,-21
551,10990.296715483,8072,-21
552,10990.321666563,8097,-21
553,10990.351703960,8127,-21
554,10990.356700925,8132,-20
555,10990.361779475,8137,-20
556,10990.366699639,8142,-20
557,10990.376706172,8152,-20
558,10990.396713477,8172,-20
559,10990.401722222,8177,-19
560,10990.436724279,8212,-19
561,10990.441671707,8217,-18
562,10990.446708281,8222,-18
563,10990.476723405,8252,-18
564,10990.481749639,8257,-19
565,10990.521757870,8297,-19
566,10990.536708641,8312,-19
567,10990.556745576,8332,-19
568,10990.561713168,8337,-19
569,10990.566753086,8342,-19
570,10990.576719135,8352,-19
571,10990.586721502,8362,-19
572,10990.596725565,8372,-19
573,10990.606723559,8382,-20
574,10990.616701183,8392,-20
575,10990.626701748,8402,-20
576,10990.631719444,8407,-20
577,10990.641698611,8417,-20
578,10990.681691820,8457,-20
579,10990.686734207,8462,-20
580,10990.691713117,8467,-20
581,10990.696725977,8472,-20
582,10990.701746296,8477,-20
583,10990.721706995,8497,-20
584,10990.751765740,8527,-20
585,10990.761721244,8537,-21
586,10990.776715586,8552,-22
587,10990.781701234,8557,-22
588,10990.796756069,8572,-22
589,10990.801743672,8577,-22
590,10990.841723868,8617,-22
591,10990.851770987,8627,-23
592,10990.856701800,8632,-23
593,10990.881694855,8657,-23
594,10990.911753549,8687,-23
595,10990.921709310,8697,-24
596,10990.926728446,8702,-23
597,10990.956707973,8732,-23
598,10990.961743518,8737,-23
599,10990.966714814,8742,-23
600,10990.971715483,8747,-22
601,10990.976712551,8752,-22
602,10990.981699691,8757,-22
603,10990.986723353,8762,-22
604,10991.001698096,8777,-22
605,10991.031743467,8807,-22
606,10991.036749074,8812,-21
607,10991.041717078,8817,-21
608,10991.046738786,8822,-21
609,10991.051766872,8827,-21
610,10991.081697273,8857,-21
611,10991.111737037,8887,-21
612,10991.116758796,8892,-20
613,10991.121728703,8897,-20
614,10991.126754835,8902,-20
615,10991.161712242,8937,-20
616,10991.196711831,8972,-19
617,10991.201775360,8977,-18
618,10991.206715174,8982,-18
619,10991.211717695,8987,-18
620,10991.241687500,9017,-18
621,10991.271705606,9047,-18
622,10991.276723713,9052,-19
623,10991.281718364,9057,-19
624,10991.286741512,9062,-19
625,10991.316736934,9092,-19
626,10991.321729063,9097,-20
627,10991.356719753,9132,-20
628,10991.366774639,9142,-21
629,10991.371763734,9147,-21
630,10991.401693312,9177,-21
631,10991.431705658,9207,-21
632,10991.436699742,9212,-22
633,10991.441754166,9217,-22
634,10991.446717541,9222,-22
635,10991.476745987,9252,-22
636,10991.481731687,9257,-23
637,10991.516704886,9292,-23
638,10991.521697633,9297,-22
639,10991.526716666,9302,-22
640,10991.531739711,9307,-22
641,10991.536748919,9312,-22
642,10991.561679115,9337,-22
643,10991.591732047,9367,-22
644,10991.596747427,9372,-21
645,10991.601756635,9377,-21
646,10991.606738528,9382,-21
647,10991.636708950,9412,-21
648,10991.641716872,9417,-20
649,10991.646721141,9422,-20
650,10991.656707510,9432,-20
651,10991.661726697,9437,-20
652,10991.666726028,9442,-20
653,10991.671732150,9447,-19
654,10991.681697325,9457,-19
655,10991.711758487,9487,-19
656,10991.721756841,9497,-19
657,10991.726742232,9502,-20
658,10991.731696862,9507,-20
659,10991.736724074,9512,-20
660,10991.741708281,9517,-20
661,10991.761675823,9537,-20
662,10991.791723405,9567,-20
663,10991.801727314,9577,-21
664,10991.811718672,9587,-21
665,10991.816754835,9592,-21
666,10991.821728292,9597,-21
667,10991.826763014,9602,-21
668,10991.841697890,9617,-21
669,10991.871728703,9647,-21
670,10991.876728652,9652,-22
671,10991.881744495,9657,-23
672,10991.891745267,9667,-23
673,10991.896722685,9672,-23
674,10991.901733127,9677,-23
675,10991.921707561,9697,-23
676,10991.951776234,9727,-23
677,10991.956738374,9732,-22
678,10991.961714969,9737,-22
679,10991.966742438,9742,-22
680,10991.976751440,9752,-22
681,10992.001731378,9777,-22
682,10992.006707355,9782,-21
683,10992.011716100,9787,-21
684,10992.016726234,9792,-21
685,10992.021715586,9797,-21
686,10992.026719907,9802,-21
687,10992.041689711,9817,-21
688,10992.071724228,9847,-21
689,10992.081762962,9857,-20
690,10992.086738425,9862,-19
691,10992.091689711,9867,-19
692,10992.121661676,9897,-19
693,10992.151721862,9927,-19
694,10992.156713734,9932,-18
695,10992.161739351,9937,-18
696,10992.166754578,9942,-18
697,10992.176719907,9952,-18
698,10992.196728858,9972,-18
699,10992.201741975,9977,-19
700,10992.241713888,10017,-19
701,10992.246729475,10022,-20
702,10992.251710133,10027,-20
