index,dsp time,sfn,TX PWR value
720,10992.521692592,57,-112
721,10992.551761625,87,-111
722,10992.556768518,92,-110
723,10992.561745730,97,-110
724,10992.566722427,102,-110
725,10992.571718261,107,-111
726,10992.576739917,112,-109
727,10992.581728755,117,-109
728,10992.601675720,137,-110
729,10992.631705452,167,-109
730,10992.641757150,177,-108
731,10992.646727777,182,-108
732,10992.651734104,187,-109
733,10992.656755298,192,-108
734,10992.661716306,197,-108
735,10992.681709310,217,-109
736,10992.711729012,247,-110
737,10992.721749588,257,-109
738,10992.736720627,272,-110
739,10992.741733744,277,-110
740,10992.756710802,292,-110
741,10992.761758847,297,-110
742,10992.801721502,337,-111
743,10992.806738991,342,-111
744,10992.811698971,347,-112
745,10992.816725257,352,-111
746,10992.821750205,357,-111
747,10992.826745473,362,-111
748,10992.841667695,377,-112
749,10992.871738940,407,-111
750,10992.881741769,417,-110
751,10992.896750874,432,-110
752,10992.916697942,452,-110
753,10992.936737705,472,-109
754,10992.941747119,477,-109
755,10992.946714917,482,-109
756,10992.951780246,487,-109
757,10992.956723353,492,-109
758,10992.961727829,497,-109
759,10992.991734876,527,-111
760,10992.996711728,532,-110
761,10993.001756172,537,-110
762,10993.006735185,542,-110
763,10993.011745576,547,-110
764,10993.041688528,577,-111
765,10993.071738374,607,-110
766,10993.076711316,612,-109
767,10993.081682098,617,-110
768,10993.086744547,622,-109
769,10993.121762139,657,-110
770,10993.156712500,692,-111
771,10993.161748919,697,-111
772,10993.166730092,702,-111
773,10993.171727674,707,-111
774,10993.176720318,712,-111
775,10993.201674434,737,-112
776,10993.231722993,767,-111
777,10993.236739866,772,-110
778,10993.241786934,777,-110
779,10993.246730298,782,-110
780,10993.276743467,812,-109
781,10993.281737242,817,-109
782,10993.286735390,822,-109
783,10993.291711574,827,-110
784,10993.296714454,832,-109
785,10993.301754475,837,-109
786,10993.321693055,857,-110
787,10993.351703240,887,-109
788,10993.356734362,892,-109
789,10993.361744135,897,-109
790,10993.366741203,902,-109
791,10993.371775925,907,-110
792,10993.401709002,937,-110
793,10993.431736574,967,-111
794,10993.441745679,977,-110
795,10993.446739351,982,-110
796,10993.481791306,1017,-111
797,10993.516773405,1052,-111
798,10993.521740689,1057,-111
799,10993.526731944,1062,-111
800,10993.531728549,1067,-112
801,10993.536747633,1072,-111
802,10993.561674691,1097,-112
803,10993.591714609,1127,-111
804,10993.596714043,1132,-109
805,10993.601728292,1137,-109
806,10993.606722222,1142,-109
807,10993.636738065,1172,-109
808,10993.641761882,1177,-109
809,10993.681754938,1217,-108
810,10993.686718106,1222,-108
811,10993.691743569,1227,-109
812,10993.696701440,1232,-108
813,10993.721693569,1257,-109
814,10993.751788477,1287,-110
815,10993.756726954,1292,-110
816,10993.761739711,1297,-110
817,10993.766737705,1302,-110
818,10993.796736882,1332,-110
819,10993.801714506,1337,-110
820,10993.841747427,1377,-111
821,10993.851788786,1387,-112
822,10993.856762911,1392,-111
823,10993.861742541,1397,-111
824,10993.881704320,1417,-112
825,10993.911736059,1447,-113
826,10993.921772942,1457,-111
827,10993.926723662,1462,-111
828,10993.931740997,1467,-112
829,10993.961712757,1497,-112
830,10993.991746913,1527,-111
831,10994.001794187,1537,-110
832,10994.006740432,1542,-110
833,10994.011736985,1547,-111
834,10994.041668364,1577,-111
835,10994.071733641,1607,-110
836,10994.076735802,1612,-109
837,10994.081766255,1617,-109
838,10994.086734773,1622,-109
839,10994.121787037,1657,-108
840,10994.126779681,1662,-108
841,10994.161715123,1697,-108
842,10994.166735185,1702,-108
843,10994.171734207,1707,-109
844,10994.176730658,1712,-108
845,10994.181738888,1717,-108
846,10994.201703600,1737,-109
847,10994.231754063,1767,-110
848,10994.236723302,1772,-109
849,10994.241782253,1777,-109
850,10994.246744341,1782,-109
851,10994.256730761,1792,-109
852,10994.276723456,1812,-110
853,10994.281718569,1817,-110
854,10994.306734876,1842,-111
855,10994.326725205,1862,-111
856,10994.336733744,1872,-111
857,10994.346727263,1882,-111
858,10994.351748456,1887,-111
859,10994.356751183,1892,-112
860,10994.361734362,1897,-112
861,10994.366753292,1902,-112
862,10994.376756532,1912,-112
863,10994.396714660,1932,-112
864,10994.401726080,1937,-112
865,10994.406736008,1942,-111
866,10994.411719495,1947,-112
867,10994.416721450,1952,-111
868,10994.421727829,1957,-111
869,10994.441701491,1977,-112
870,10994.471746399,2007,-111
871,10994.476735030,2012,-110
872,10994.481722222,2017,-110
873,10994.486738220,2022,-110
874,10994.521728343,2057,-109
875,10994.556733076,2092,-109
876,10994.561738940,2097,-109
877,10994.566729218,2102,-109
878,10994.571731635,2107,-110
879,10994.576707818,2112,-109
880,10994.601696296,2137,-110
881,10994.631734567,2167,-107
882,10994.636747993,2172,-103
883,10994.641711059,2177,-103
884,10994.646737397,2182,-103
885,10994.656725977,2192,-103
886,10994.676717386,2212,-103
887,10994.686740277,2222,-104
888,10994.691741409,2227,-105
889,10994.696716409,2232,-104
890,10994.701705864,2237,-104
891,10994.706719855,2242,-104
892,10994.711734156,2247,-104
893,10994.721679269,2257,-105
894,10994.751704732,2287,-106
895,10994.756698919,2292,-105
896,10994.761726028,2297,-105
897,10994.766715997,2302,-105
898,10994.771736882,2307,-105
899,10994.776722170,2312,-105
900,10994.801717181,2337,-106
901,10994.831726440,2367,-107
902,10994.841740637,2377,-107
903,10994.846720421,2382,-107
904,10994.851712037,2387,-107
905,10994.881677417,2417,-108
906,10994.911703960,2447,-109
907,10994.916703549,2452,-108
908,10994.926723919,2462,-108
909,10994.931730041,2467,-108
910,10994.961708590,2497,-109
911,10994.991724382,2527,-110
912,10994.996719495,2532,-109
913,10995.001682355,2537,-110
914,10995.006703292,2542,-109
915,10995.041731378,2577,-110
916,10995.076700360,2612,-110
917,10995.081697890,2617,-111
918,10995.086726748,2622,-110
919,10995.121738168,2657,-111
920,10995.126733076,2662,-111
921,10995.156724948,2692,-111
922,10995.161706790,2697,-112
923,10995.166738220,2702,-111
924,10995.176724537,2712,-112
925,10995.181708950,2717,-112
926,10995.191712191,2727,-113
927,10995.201762500,2737,-112
928,10995.206735082,2742,-112
929,10995.236714506,2772,-113
930,10995.241726954,2777,-113
931,10995.246751543,2782,-113
932,10995.281745267,2817,-112
933,10995.316729166,2852,-112
